code,name,year,month,year_month,up_count
000659,珠海中富,2025,11,2025-11,1
000661,长春高新,2023,10,2023-10,2
000661,长春高新,2024,10,2024-10,2
000661,长春高新,2025,10,2025-10,1
000663,永安林业,2023,2,2023-02,1
000663,永安林业,2024,2,2024-02,3
000663,永安林业,2025,2,2025-02,1
000665,湖北广电,2023,1,2023-01,1
000665,湖北广电,2024,1,2024-01,1
000665,湖北广电,2025,1,2025-01,1
000665,湖北广电,2023,3,2023-03,1
000665,湖北广电,2024,3,2024-03,1
000665,湖北广电,2025,3,2025-03,6
000665,湖北广电,2023,6,2023-06,1
000665,湖北广电,2024,6,2024-06,2
000665,湖北广电,2025,6,2025-06,1
000665,湖北广电,2023,11,2023-11,1
000665,湖北广电,2024,11,2024-11,1
000665,湖北广电,2025,11,2025-11,2
000668,*ST荣控,2023,4,2023-04,1
000668,*ST荣控,2024,4,2024-04,2
000668,*ST荣控,2025,4,2025-04,3
000669,ST金鸿,2023,11,2023-11,2
000669,ST金鸿,2024,11,2024-11,3
000669,ST金鸿,2025,11,2025-11,1
000669,ST金鸿,2023,12,2023-12,3
000669,ST金鸿,2024,12,2024-12,1
000669,ST金鸿,2025,12,2025-12,1
000670,盈方微,2023,8,2023-08,1
000670,盈方微,2024,8,2024-08,2
000670,盈方微,2025,8,2025-08,3
000672,上峰水泥,2023,9,2023-09,1
000672,上峰水泥,2024,9,2024-09,2
000672,上峰水泥,2025,9,2025-09,2
000676,智度股份,2023,2,2023-02,1
000676,智度股份,2024,2,2024-02,3
000676,智度股份,2025,2,2025-02,1
000676,智度股份,2023,9,2023-09,1
000676,智度股份,2024,9,2024-09,3
000676,智度股份,2025,9,2025-09,1
000677,恒天海龙,2023,12,2023-12,1
000677,恒天海龙,2024,12,2024-12,1
000677,恒天海龙,2025,12,2025-12,1
000678,襄阳轴承,2023,1,2023-01,1
000678,襄阳轴承,2024,1,2024-01,1
000678,襄阳轴承,2025,1,2025-01,2
000678,襄阳轴承,2023,6,2023-06,3
000678,襄阳轴承,2024,6,2024-06,1
000678,襄阳轴承,2025,6,2025-06,1
000678,襄阳轴承,2023,7,2023-07,3
000678,襄阳轴承,2024,7,2024-07,1
000678,襄阳轴承,2025,7,2025-07,2
000679,大连友谊,2023,2,2023-02,1
000679,大连友谊,2024,2,2024-02,1
000679,大连友谊,2025,2,2025-02,3
000679,大连友谊,2023,7,2023-07,2
000679,大连友谊,2024,7,2024-07,6
000679,大连友谊,2025,7,2025-07,7
000679,大连友谊,2023,10,2023-10,1
000679,大连友谊,2024,10,2024-10,1
000679,大连友谊,2025,10,2025-10,2
000680,山推股份,2023,2,2023-02,1
000680,山推股份,2024,2,2024-02,1
000680,山推股份,2025,2,2025-02,1
000680,山推股份,2023,10,2023-10,2
000680,山推股份,2024,10,2024-10,2
000680,山推股份,2025,10,2025-10,2
000681,视觉中国,2023,2,2023-02,2
000681,视觉中国,2024,2,2024-02,3
000681,视觉中国,2025,2,2025-02,2
000681,视觉中国,2023,11,2023-11,2
000681,视觉中国,2024,11,2024-11,2
000681,视觉中国,2025,11,2025-11,2
000682,东方电子,2023,2,2023-02,1
000682,东方电子,2024,2,2024-02,2
000682,东方电子,2025,2,2025-02,1
000682,东方电子,2023,4,2023-04,1
000682,东方电子,2024,4,2024-04,2
000682,东方电子,2025,4,2025-04,1
000682,东方电子,2023,8,2023-08,1
000682,东方电子,2024,8,2024-08,1
000682,东方电子,2025,8,2025-08,1
000688,国城矿业,2023,1,2023-01,1
000688,国城矿业,2024,1,2024-01,1
000688,国城矿业,2025,1,2025-01,1
000688,国城矿业,2023,3,2023-03,2
000688,国城矿业,2024,3,2024-03,2
000688,国城矿业,2025,3,2025-03,1
